house_id,house_remark,result
3FO4K7CJ6FSD,山西省太原市 白煜小区 3室0厅1卫1厨 99.89m²,
3FO4K4JEURGO,山西省太原市 大院小区 3室2厅2卫0厨 127.00m²,
3FO4K4JLFWDI,山西省太原市 太嘉小区 3室1厅1卫1厨 140.00m²,
3FO4AJT32G2D,山西省太原市 古寨小区 3室2厅2卫1厨 95.62m²,
3FO4K4IWS7RY,山西省太原市 育阳小区 1室0厅1卫1厨 51.00m²,
3FO4KFC9MOIC,山西省太原市 自己小区 2室1厅1卫1厨 75.83m²,
3FO4CLUGR94B,山西省太原市 墨玉小区 3室2厅1卫1厨 84.85m²,
3FO4K7KX49B6,山西省太原市 白煜小区 3室0厅1卫1厨 86.98m²,
3FO4K4IWUEOM,山西省太原市 育阳小区 2室0厅1卫1厨 64.00m²,
3FO4K4IWU80K,山西省太原市 育阳小区 2室0厅1卫1厨 71.00m²,
3FO40AKW0NOF,山西省太原市 棠悦小区 3室2厅2卫1厨 120.00m²,
3FO3WI8JRWNY,山西省太原市 建业小区 3室2厅2卫1厨 110.00m²,
3FO4K7CJ7UXS,山西省太原市 警苑小区 2室0厅1卫1厨 87.34m²,
3FO4MIATQONY,山西省太原市 阳光揽胜小区 3室2厅2卫1厨 123.21m²,
3FO4K7CJ7KWP,山西省太原市 警苑小区 2室0厅1卫1厨 81.30m²,
3FO4F8HFVYH3,山西省太原市 如意小区 3室2厅2卫1厨 134.30m²,
3FO4K4IPN426,山西省太原市 广电小区 3室2厅2卫1厨 145.00m²,
3FO4F6PK4D9M,山西省太原市 如意小区 3室2厅1卫1厨 108.20m²,
3FO476EQI4P0,山西省太原市 如意小区 3室2厅2卫1厨 103.69m²,
3FO47EBKLCPU,山西省太原市 如意小区 3室2厅2卫1厨 97.49m²,
3FO47EB858UF,山西省太原市 如意小区 2室2厅1卫1厨 65.43m²,
3FO47E9MW7YB,山西省太原市 如意小区 3室2厅1卫1厨 101.87m²,
3FO47E9PKTRB,山西省太原市 如意小区 2室2厅1卫1厨 76.35m²,
3FO476F6QAQG,山西省太原市 如意小区 2室2厅1卫1厨 84.09m²,
3FO47EAHS163,山西省太原市 如意小区 2室2厅1卫1厨 80.70m²,
3FO47EBQACLD,山西省太原市 如意小区 3室2厅1卫1厨 91.92m²,
3FO47EAPDI8H,山西省太原市 如意小区 2室2厅1卫1厨 55.87m²,
3FO4F6PK438J,山西省太原市 如意小区 2室2厅1卫1厨 85.20m²,
3FO4F6PK46KK,山西省太原市 如意小区 2室2厅1卫1厨 106.10m²,
3FO4F6PK3VJH,山西省太原市 如意小区 2室2厅1卫1厨 93.20m²,
3FO4F8HFXBAH,山西省太原市 如意小区 3室2厅2卫1厨 144.40m²,
3FO4DXI8EBFC,山西省太原市 如意小区 3室1厅1卫1厨 89.18m²,
3FO4D7W6H6CJ,山西省太原市 如意小区 3室1厅1卫1厨 89.18m²,
3FO4DCMNA8SE,山西省太原市 如意小区 3室1厅1卫1厨 89.18m²,
3FO4DW9BOP0U,山西省太原市 如意小区 3室1厅1卫1厨 89.18m²,
3FO4D4RPCN33,山西省太原市 如意小区 3室1厅1卫1厨 89.18m²,
3FO4KEXDFHMY,山西省太原市 锦东・如意城 4室2厅2卫1厨 151.00m²,
3FO4KEXDHL7L,山西省太原市 锦东・如意城 2室1厅1卫1厨 76.39m²,
3FO4KEXDFAXW,山西省太原市 锦东・如意城 3室2厅2卫1厨 128.33m²,
3FO4KEXDFL00,山西省太原市 锦东・如意城 3室2厅2卫1厨 124.66m²,
3FO4KEXDHV8O,山西省太原市 锦东・如意城 3室2厅2卫1厨 144.43m²,
3FO40GPYB8YO,山西省太原市 华夏晋韵·如意城 3室2厅2卫1厨 135.76m²,
3FO40H5K8HSR,山西省太原市 华夏晋韵·如意城 3室2厅2卫1厨 127.16m²,
3FO4F2T1T1VO,山西省太原市 如意城 3室2厅1卫1厨 99.96m²,
3FO4KEXDHOJM,山西省太原市 锦东・如意城 4室2厅2卫1厨 163.18m²,
3FO4KEXDHHUK,山西省太原市 锦东・如意城 3室2厅2卫1厨 121.29m²,
3FO4KEXDHEIJ,山西省太原市 锦东・如意城 3室2厅2卫1厨 131.86m²,
3FO4KEXDFOC1,山西省太原市 锦东・如意城 5室3厅3卫1厨 170.39m²,
3FO47JLN3111,山西省太原市 如意苑小区-1号楼 2室2厅0卫1厨 68.14m²,
3FO4ANW32B8B,山西省太原市 如意苑小区-1号楼 2室1厅0卫0厨 88.67m²,
3FO4GEDPWDI3,山西省太原市 锦东如意城 3室2厅1卫0厨 78.12m²,
3FO41JPXQ9S7,山西省太原市 锦东如意城 3室2厅1卫1厨 101.00m²,
3FO4HH9XHN6G,山西省太原市 锦东・如意城 3室2厅1卫1厨 88.05m²,
3FO4HP21XM2I,山西省太原市 锦东如意城 3室2厅0卫0厨 94.91m²,
3FO4ALS3NXNV,山西省太原市 锦东如意城 2室1厅0卫1厨 67.06m²,
3FO4ID0KS0HM,山西省太原市 锦东如意城 2室2厅0卫1厨 107.68m²,
3FO4HH1BVUNI,山西省太原市 锦东如意城 2室2厅1卫1厨 112.16m²,
3FO47V1LBGI1,山西省太原市 锦东如意城 3室2厅1卫1厨 97.99m²,
3FO45TFCHUSQ,山西省太原市 锦东・如意城 3室2厅1卫2厨 121.86m²,
3FO45JL72GCQ,山西省太原市 锦东・如意城 3室2厅1卫1厨 100.00m²,
3FO45G3024PN,山西省太原市 锦东如意城 3室2厅1卫1厨 110.38m²,
3FO45PJ0OMCP,山西省太原市 锦东如意城 3室2厅1卫1厨 111.10m²,
3FO4751C42JS,山西省太原市 锦东如意城 4室2厅1卫0厨 133.46m²,
3FO4HIGTXBRJ,山西省太原市 锦东・如意城 3室2厅1卫1厨 88.05m²,
3FO4EP7U4EV7,山西省太原市 锦东・如意城 3室2厅1卫2厨 139.00m²,
3FO4DVCBYD84,山西省太原市 锦东如意城 2室2厅1卫1厨 131.01m²,
3FO45YWN44OK,山西省太原市 如意龙城湾-南区 2室1厅1卫1厨 85.76m²,
3FO4BBLWXGJT,山西省太原市 如意龙城湾-南区 3室2厅1卫2厨 106.36m²,
3FO4B0XO7G6P,山西省太原市 如意龙城湾-南区 2室2厅0卫1厨 105.36m²,
3FO4BDLRKHF2,山西省太原市 如意龙城湾-南区 2室1厅0卫1厨 111.98m²,
3FO4AK0DJQCE,山西省太原市 如意龙城湾-南区 3室2厅1卫0厨 108.05m²,
3FO4B8C91J73,山西省太原市 如意龙城湾-南区 2室2厅1卫1厨 94.07m²,
3FO4AOAY4WLB,山西省太原市 如意龙城湾-南区 2室1厅0卫1厨 102.63m²,
3FO4DNB6EOPQ,山西省太原市 如意龙城湾-南区 3室1厅1卫2厨 101.41m²,
3FO4ABM271GX,山西省太原市 如意龙城湾-南区 3室2厅1卫1厨 128.88m²,
3FO4BE1G05PA,山西省太原市 如意龙城湾-南区 2室2厅1卫1厨 86.66m²,
3FO4BE17F9WL,山西省太原市 如意龙城湾-南区 1室0厅0卫0厨 30.81m²,
3FO4APB38KF0,山西省太原市 如意龙城湾-南区 3室2厅1卫1厨 103.16m²,
3FO4B19JG8C0,山西省太原市 如意龙城湾-南区 3室2厅1卫2厨 73.97m²,
3FO4AL1H1WR1,山西省太原市 如意龙城湾-南区 3室1厅0卫2厨 43.41m²,
3FO4AS8OQRNC,山西省太原市 如意龙城湾-南区 1室2厅0卫0厨 102.13m²,
3FO4B0WY9U2Q,山西省太原市 如意龙城湾-南区 2室0厅0卫1厨 82.43m²,
