house_id,house_remark,result
3FO4JYGTMKXJ,山东省济南市 洄龙小区 3室2厅2卫1厨 158.00m²,
3FO4JYGMALGO,山东省济南市 欣雅小区 2室1厅1卫1厨 79.37m²,
3FO4JYGQ179Q,山东省济南市 前龙小区 2室0厅1卫1厨 93.17m²,
3FO40VOJUHDW,山东省济南市 泺河小区 2室2厅1卫1厨 72.65m²,
3FO3X36O2T5J,山东省济南市 实力小区 3室2厅1卫1厨 112.03m²,
3FO4JYGMAI4N,山东省济南市 欣雅小区 3室1厅1卫1厨 104.00m²,
3FO4JN1D7872,山东省济南市 泺河小区 1室2厅1卫0厨 35.56m²,
3FO4JYGWV6KI,山东省济南市 韩家窑小区 3室0厅1卫1厨 126.59m²,
3FO4JYGMAOSP,山东省济南市 欣雅小区 3室1厅1卫1厨 102.00m²,
3FO4LYQSRT9W,山东省济南市 舜玉小区 3室0厅2卫0厨 52.56m²,
3FO4JYGQ0W8N,山东省济南市 前龙小区 2室1厅2卫1厨 107.78m²,
3FO4JYGQ13WP,山东省济南市 前龙小区 2室0厅1卫1厨 101.90m²,
3FO4AE1JY69J,山东省济南市 明泽小区 3室2厅1卫1厨 95.72m²,
3FO4JYGMA83K,山东省济南市 欣雅小区 3室2厅2卫1厨 124.00m²,
3FO4JYGQ025E,山东省济南市 前龙小区 3室2厅2卫1厨 144.56m²,
3FO4K0J3ME55,山东省济南市 舜玉小区 2室2厅1卫1厨 70.99m²,
3FO4JYTTBU42,山东省济南市 舜玉小区 2室1厅1卫1厨 72.58m²,
3FO4K0YF68CD,山东省济南市 舜玉小区 2室1厅1卫1厨 84.96m²,
3FO4K0IJWEW9,山东省济南市 舜玉小区 3室2厅1卫1厨 45.88m²,
3FO4K77L4BUU,山东省济南市 舜玉小区 2室2厅1卫1厨 71.91m²,
3FO4K13YJ8QL,山东省济南市 舜玉小区 1室1厅0卫1厨 45.20m²,
3FO4KBX2KQE8,山东省济南市 舜玉小区 1室0厅1卫1厨 58.23m²,
3FO4K820U13M,山东省济南市 舜玉小区 3室1厅0卫1厨 112.53m²,
