house_id,house_remark,result
3FO4K8E3X3UB,河北省邯郸市 金科小区 2室1厅1卫1厨 80.43m²,200
3FO4K8E3X0IA,河北省邯郸市 金科小区 3室1厅1卫1厨 102.00m²,200
3FO4K8E3VDNS,河北省邯郸市 金科小区 1室1厅1卫1厨 55.97m²,200
3FO4K8E3VABR,河北省邯郸市 金科小区 2室1厅1卫1厨 78.99m²,200
3FO44A669TL7,河北省邯郸市 建业小区 4室2厅2卫1厨 150.00m²,200
3FO3XMYLSOJS,河北省邯郸市 弘泰小区 3室2厅2卫0厨 122.00m²,200
3FO4J63DJ9E3,河北省邯郸市 遂园小区 3室2厅1卫1厨 107.98m²,200
3FO437LCSNJL,河北省邯郸市 招贤小区 3室2厅2卫1厨 130.00m²,200
3FO4JLCLQHU4,河北省邯郸市 钢建小区 2室1厅1卫1厨 81.91m²,200
3FO4DIE3CCU4,河北省邯郸市 智慧城小区 3室2厅2卫1厨 113.58m²,200
3FO4JPL69D85,河北省邯郸市 紫薇小区 3室2厅2卫1厨 162.23m²,200
3FO4LUWY5G1B,河北省邯郸市 美雅小区 2室2厅1卫1厨 123.03m²,200
3FO4IWELQVVL,河北省邯郸市 京安小区 3室2厅1卫1厨 121.01m²,200
3FO4JXTCN2YQ,河北省邯郸市 美雅小区 2室2厅1卫1厨 95.38m²,200
3FO44OP89QH5,河北省邯郸市 鑫鑫小区 3室2厅1卫1厨 110.00m²,200
3FO3Y3T36WEM,河北省邯郸市 下庄小区 3室2厅1卫1厨 105.00m²,200
3FO4LOLVN4GU,河北省邯郸市 广电小区 3室2厅2卫1厨 149.84m²,200
3FO4IW69QMD0,河北省邯郸市 京安小区 3室2厅2卫1厨 123.21m²,200
3FO3Y1JLEROB,河北省邯郸市 翠湖小区 3室2厅1卫1厨 104.92m²,200
3FO4CS16QSO1,河北省邯郸市 翠湖小区 2室2厅1卫1厨 90.10m²,200
3FO48E96W3I4,河北省邯郸市 保利时光印象小区 3室2厅1卫1厨 105.99m²,200
3FO4IW6RJOSC,河北省邯郸市 京安小区 3室2厅1卫2厨 121.00m²,200
3FO4IWI75VX8,河北省邯郸市 京安小区 3室2厅1卫1厨 121.00m²,200
3FO4J0B932VX,河北省邯郸市 京安社区 3室2厅2卫1厨 122.23m²,200
3FO4J0C185Q3,河北省邯郸市 京安社区 3室2厅1卫2厨 121.00m²,200
3FO3WNSKCVAT,河北省邯郸市 盛世长安小区 3室2厅2卫0厨 130.00m²,200
3FO44GN53MRE,河北省邯郸市 武安市天伦湾小区 3室2厅2卫1厨 121.00m²,200
3FO4JSD79ERV,河北省邯郸市 武安市嘉园小区 3室2厅2卫1厨 120.01m²,200
3FO4K8FEQMEV,河北省邯郸市 同安花园 3室1厅1卫0厨 130.75m²,200
3FO3W24CTON7,河北省邯郸市 盛世长安 2室2厅1卫1厨 86.63m²,200
3FO4JM5F6SSL,河北省邯郸市 同安花园 2室2厅1卫1厨 84.54m²,200
3FO4K6T2XHPY,河北省邯郸市 同安花园 4室2厅2卫1厨 170.94m²,200
3FO4K8FEOPJB,河北省邯郸市 同安花园 2室1厅1卫1厨 99.29m²,200
3FO4K8D0LM04,河北省邯郸市 金安公寓 2室1厅1卫1厨 55.73m²,200
3FO4IIRJK3R8,河北省邯郸市 永安名都 2室2厅1卫1厨 78.80m²,200
3FO4K8D0LIN3,河北省邯郸市 金安公寓 2室1厅1卫1厨 60.42m²,200
3FO4KE6VYVDD,河北省邯郸市 金安公寓 2室1厅1卫1厨 52.09m²,200
3FO4K8FEQPQW,河北省邯郸市 同安花园 2室0厅1卫1厨 114.84m²,200
3FO4K8FEPRBM,河北省邯郸市 同安花园 2室1厅1卫1厨 137.60m²,200
3FO4KE6VYI09,河北省邯郸市 金安公寓 2室1厅1卫1厨 82.53m²,200
3FO4IJ1QL5D3,河北省邯郸市 安康易居 1室2厅1卫1厨 60.00m²,200
3FO4K8D0KK7S,河北省邯郸市 金安公寓 2室1厅1卫1厨 106.57m²,200
3FO4K8D0TCTF,河北省邯郸市 安联德国印象 3室0厅1卫1厨 119.73m²,200
3FO4KE6VWV5R,河北省邯郸市 金安公寓 2室1厅1卫1厨 85.00m²,200
3FO4K6T659TE,河北省邯郸市 金安公寓 3室1厅1卫1厨 121.40m²,200
