house_id,house_remark,result
3FO4K6NEB8KQ,河南省郑州市 城开绿城绿园 2室1厅1卫0厨 88.66m²,200
3FO4K6NE7OUO,河南省郑州市 城开绿城绿园 2室1厅1卫0厨 89.24m²,200
3FO4JQ4BIQFT,河南省郑州市 城开绿城绿园 2室2厅1卫1厨 78.89m²,200
3FO4JYIG2TQA,河南省郑州市 城开绿城绿园 2室1厅1卫0厨 89.24m²,200
3FO4JYHRE6PG,河南省郑州市 金源城上城 3室0厅1卫1厨 117.40m²,200
3FO4K6NEDSUI,河南省郑州市 城开绿城绿园 3室1厅2卫1厨 140.88m²,200
3FO4JYIG0Q6N,河南省郑州市 城开绿城绿园 2室0厅1卫1厨 88.56m²,200
3FO4JYHRDEY8,河南省郑州市 金源城上城 2室0厅1卫1厨 79.65m²,200
3FO4K8298EID,河南省郑州市 金源城上城 2室1厅1卫1厨 87.43m²,200
3FO4JYHREDEI,河南省郑州市 金源城上城 2室0厅1卫1厨 82.10m²,200
3FO4JYHRDIB9,河南省郑州市 金源城上城 2室0厅1卫1厨 95.39m²,200
3FO4JYIG2QE9,河南省郑州市 城开绿城绿园 3室1厅2卫1厨 140.88m²,200
3FO47KQ1NU5I,河南省郑州市 腾威城 4室2厅2卫1厨 158.09m²,200
3FO44JMFQKOQ,河南省郑州市 腾威城 3室2厅1卫1厨 91.07m²,200
3FO4K82FM229,河南省郑州市 金源城上城 3室1厅1卫1厨 135.23m²,200
3FO4K74JP5G2,河南省郑州市 锦艺城 3室2厅2卫1厨 129.54m²,200
3FO4K74JI9P0,河南省郑州市 锦艺城 2室1厅1卫1厨 84.46m²,200
3FO4K74GDV7A,河南省郑州市 锦艺城 3室1厅1卫1厨 97.10m²,200
3FO4K74K6KJY,河南省郑州市 锦艺城 3室2厅2卫1厨 127.52m²,200
3FO4K6N0D2EQ,河南省郑州市 锦艺城 4室1厅1卫1厨 107.56m²,200
3FO4JYHREK3K,河南省郑州市 金源城上城 2室0厅1卫1厨 88.13m²,200
3FO4JYHREGQJ,河南省郑州市 金源城上城 2室0厅1卫1厨 80.90m²,200
3FO4K08DFQ5T,河南省郑州市 金源城上城 2室1厅1卫1厨 84.18m²,200
3FO4K08IQ68A,河南省郑州市 金源城上城 2室1厅1卫1厨 92.76m²,200
3FO4K74JR5NN,河南省郑州市 锦艺城 1室1厅1卫1厨 62.83m²,200
3FO4K6N0A3QU,河南省郑州市 锦艺城 3室1厅1卫1厨 110.33m²,200
3FO4K1LU3LTL,河南省郑州市 润城 3室0厅1卫1厨 129.36m²,200
3FO4JSBD7C4C,河南省郑州市 城果 2室2厅1卫1厨 72.60m²,200
3FO4K822BVP5,河南省郑州市 金源城上城 3室1厅1卫1厨 121.08m²,200
3FO47KQ6YK92,河南省郑州市 腾威城 3室2厅1卫1厨 83.44m²,200
3FO4IRIDVTG6,河南省郑州市 智慧城 3室2厅2卫1厨 122.49m²,200
3FO40QR1TSUR,河南省郑州市 腾威城 2室2厅1卫1厨 83.23m²,200
3FO4K74GB7KH,河南省郑州市 锦艺城 3室1厅1卫1厨 95.70m²,200
3FO4JYO061NX,河南省郑州市 长城阳光新城 3室1厅1卫1厨 112.55m²,200
3FO4JYNYJJCI,河南省郑州市 长城阳光新城 2室1厅1卫1厨 105.00m²,200
3FO3W3GJLLY5,河南省郑州市 龙城 3室2厅2卫1厨 123.00m²,200
3FO4K6N0AKH0,河南省郑州市 锦艺城 4室1厅2卫1厨 126.64m²,200
3FO4JYIGTYCE,河南省郑州市 润城 2室0厅1卫1厨 88.12m²,200
3FO47KPOPVKI,河南省郑州市 腾威城 4室2厅2卫1厨 133.83m²,200
